NASDAQ,AP
8827.740234,69.336212
8887.219727,69.405609
8924.959961,69.261856
8945.650391,70.39209
8952.879883,70.459007
9022.389648,71.856941
9006.620117,71.829674
8945.990234,72.255997
8972.599609,72.783936
9092.19043,74.444603
9020.769531,73.72084
9071.469727,74.308266
9068.580078,73.958794
9129.240234,75.148521
9203.429688,76.744728
9178.860352,76.918221
9273.929688,78.561531
9251.330078,77.500702
9258.700195,77.168564
9357.129883,78.135223
9388.94043,79.000244
9370.80957,78.464882
9383.769531,78.744957
9402.480469,79.124184
9314.910156,78.896149
9139.30957,76.576187
9269.679688,78.742477
9275.160156,80.390747
9298.929688,80.274246
9150.94043,76.714989
9273.400391,76.504311
9467.969727,79.029999
9508.679688,79.674438
9572.150391,80.606384
9520.509766,79.510727
9628.389648,79.888359
9638.94043,79.406372
9725.959961,81.292099
9711.969727,80.713219
9731.179688,80.733086
9732.740234,79.254822
9817.179688,80.402649
9750.969727,79.577805
9576.589844,77.776558
9221.280273,74.082146
8965.610352,71.572823
8980.780273,72.708221
8566.480469,67.955421
8567.370117,67.915665
8952.169922,74.238663
8684.089844,71.880898
9018.089844,75.215065
8738.589844,72.775307
8575.620117,71.808846
7950.680176,66.129333
8344.25,70.892075
7952.049805,68.429955
7201.799805,61.672176
7874.879883,69.061012
6904.589844,60.176525
7334.779785,62.822491
6989.839844,61.284599
7150.580078,60.815033
6879.52002,56.954155
6860.669922,55.744217
7417.859863,61.336773
7384.299805,60.998886
7797.540039,64.208832
7502.379883,61.550438
7774.149902,63.306961
7700.100098,63.177769
7360.580078,59.853539
7487.310059,60.852295
7373.080078,59.977768
7913.240234,65.210068
7887.259766,64.454796
8090.899902,66.104485
8153.580078,66.581505
8192.419922,67.888336
8515.740234,71.31691
8393.179688,70.665985
8532.360352,71.22747
8650.139648,70.261017
8560.730469,68.80262
8263.230469,66.675911
8495.379883,68.596413
8494.75,68.330582
8634.519531,70.303253
8730.160156,70.352943
8607.730469,69.212555
8914.709961,71.485863
8889.549805,72.993935
8604.950195,71.818787
8710.709961,72.83493
8809.120117,73.928101
8854.389648,74.690842
8979.660156,75.463509
9121.320313,77.259674
9192.339844,78.475372
9002.549805,77.578537
8863.169922,76.641853
8943.719727,77.112686
9014.55957,76.656792
9234.830078,78.462914
9185.099609,78.009521
9375.780273,79.526665
9284.879883,78.933754
9324.589844,79.441963
9340.219727,78.903862
9412.360352,79.247643
9368.990234,79.282524
9489.870117,79.205299
9552.049805,80.179359
9608.379883,80.550545
9682.910156,80.99398
9615.80957,80.296448
9814.080078,82.583374
9924.75,83.07164
9953.75,85.694878
10020.34961,87.89959
9492.730469,83.679497
9588.80957,84.401947
9726.019531,85.445755
9895.870117,87.710258
9910.530273,87.588196
9943.049805,87.623077
9946.120117,87.122337
10056.48047,89.401787
10131.37012,91.310051
9909.169922,89.698242
10017,90.889038
9757.219727,88.096405
9874.150391,90.126732
10058.76953,90.879066
10154.62988,90.707176
10207.62988,90.707176
10433.65039,93.133614
10343.88965,92.844635
10492.5,95.006996
10547.75,95.415558
10617.44043,95.582466
10390.83984,95.141525
10488.58008,96.715965
10550.49023,97.381111
10473.83008,96.182846
10503.19043,95.988533
10767.08984,98.011391
10680.36035,96.658661
10706.12988,96.930199
10461.41992,92.518288
10363.17969,92.289093
10536.26953,94.476364
10402.08984,92.924355
10542.94043,94.705559
10587.80957,95.851517
10745.26953,105.886086
10902.79981,108.554153
10941.16992,109.279099
10998.40039,109.675194
11108.07031,113.501678
11010.98047,110.921135
10968.36035,112.533356
10782.82031,109.186623
11012.24023,112.815369
11042.5,114.81192
11019.29981,114.709602
11129.73047,114.41011
11210.83984,115.363472
11146.45996,115.508217
11264.9502,118.071297
11311.79981,124.1558
11379.71973,125.640739
11466.46973,124.610016
11665.05957,126.304596
11625.33984,124.794701
11695.62988,124.592552
11775.45996,128.817749
11939.66992,133.948898
12056.44043,131.173691
11458.09961,120.671806
11313.12988,120.751671
10847.69043,112.625694
11141.55957,117.117943
10919.58984,113.29454
10853.54981,111.807106
11056.65039,115.161316
11190.32031,115.341011
11050.46973,111.936882
10910.28027,110.149963
10793.28027,106.655991
10778.79981,109.890411
10963.63965,111.617432
10632.99023,106.935509
10672.26953,108.033615
10913.55957,112.086624
11117.53027,114.762009
11085.25,113.893501
11167.50977,115.610542
11326.50977,116.58886
11075.01953,112.825348
11332.49023,116.299355
11154.59961,112.965111
11364.59961,114.881805
11420.98047,114.771988
11579.94043,116.768547
11876.25977,124.185753
11863.90039,120.891434
11768.73047,120.981277
11713.87012,120.502106
11671.55957,118.81501
11478.87988,115.780251
11516.49023,117.307617
11484.69043,116.668724
11506.00977,115.550644
11548.28027,114.841873
11358.94043,114.851852
11431.34961,116.399178
11004.87012,111.008476
11185.58984,115.121384
10911.58984,108.672516
10957.61035,108.582664
11160.57031,110.249794
11590.78027,114.752022
11890.92969,118.824997
11895.23047,118.690002
11713.78027,116.32
11553.86035,115.970001
11786.42969,119.489998
11709.58984,119.209999
11829.29004,119.260002
11924.12988,120.300003
11899.33984,119.389999
11801.59961,118.029999
11904.70996,118.639999
11854.96973,117.339996
11880.62988,113.849998
12036.79004,115.169998
12094.40039,116.029999
12205.84961,116.589996
12198.74023,119.050003
12355.11035,122.720001
12349.37012,123.080002
12377.17969,122.940002
12464.23047,122.25
12519.9502,123.75
12582.76953,124.379997
12338.9502,121.779999
12405.80957,123.239998
12377.87012,122.410004
12440.04004,121.779999
12595.05957,127.879997
12658.19043,127.809998
12764.75,128.699997
